функция;Кол-во потоков;НД 200000;НД2 500000;НД3 750000;НД4 1000000
Последоватьное заполнение;0;6,2154;15,9475;24,0376;31,8785
Последоватьное суммирование;0;0,9151;1,2361;1,9771;2,6583
Последоватьный подсчет суммы;0;0,4626;1,1584;1,9524;2,5625
Параллельный (с редукторами) подсчет суммы;2;0,2858;0,9626;1,1775;1,2829
;3;0,68;1,0747;0,6166;0,8284
;4;0,1298;0,4157;0,471;0,8543
Параллельный (с крит. секциями) подсчет суммы;2;5,3791;20,3298;31,0722;40,9488
;3;26,5174;37,0092;58,7117;78,3234
;4;19,7278;52,8941;76,3668;108,4761
Параллельное суммирование с for;2;0,254;0,9136;1,5263;2,3473
;3;0,8453;0,8562;1,5942;2,16
;4;0,1294;0,9254;2,2642;2,2412
Параллельное суммирование с sections;2;0,4955;3,3678;2,0211;2,7493
;3;1,2914;1,3329;1,9169;2,6231
;4;0,4918;1,4355;2,0528;2,7133
Параллельное заполнение;2;3,6168;9,4411;14,2924;16,6533
;3;5,5035;6,3823;9,7618;11,2171
;4;2,5019;6,2782;9,4095;13,9001
