функция;Кол-во потоков;НД 7500000;НД2 10000000;НД3 12500000;НД4 15000000
Последоватьное заполнение;0;1.22562;1.6178;2.14811;2.47874
Последоватьное суммирование;0;0.0506195;0.0745128;0.210936;0.118642
Последоватьный подсчет суммы;0;0.037212;0.0495045;0.0670401;0.0748458
Параллельный (с редукторами) подсчет суммы;2;0.0474144;0.0645178;0.0707005;0.0984511
;3;0.0506081;0.0907072;0.109027;0.0973051
;4;0.0526537;0.0813205;0.0912748;0.118145
Параллельный (с крит. секциями) подсчет суммы;2;0.0479947;0.0606164;0.0604449;0.0803283
;3;0.0400666;0.0592815;0.0929463;0.0936424
;4;0.0419239;0.067732;0.0767948;0.0892503
Параллельное суммирование с for;2;0.0604183;0.0776731;0.22442;0.144831
;3;0.0695213;0.0803902;0.103527;0.417597
;4;0.0743802;0.481487;0.100042;0.342387
Параллельное суммирование с sections;2;0.0994377;0.134438;0.315559;0.249221
;3;0.108256;0.127039;0.293085;0.230987
;4;0.12362;0.972298;0.321307;0.438641
Параллельное заполнение;2;0.639892;0.810345;1.17729;1.46962
;3;0.453732;0.590184;0.851946;0.90751
;4;0.359499;0.521181;0.61921;0.769688
