НД A = 850x700B = 650x850;;;;
Функция;Потоки;Время;Sp(n);Ep(n)
Ленточное последовательное заполнение;;47.3948^;;
Ленточное параллельное заполнение с for static;2;24.0788^;;
;3;16.4474^;;
;4;12.5745^;;
Ленточное параллельное заполнение с for dynamic;2;24.0499^;;
;3;16.5319^;;
;4;16.3907^;;
Ленточное параллельный с sections;2;48.2035^;;
;3;46.7479^;;
;4;46.4824^;;
Блочное последовательное;;24.4328^;;
Блочное параллельное заполнение с for static;2;13.3352^;;
;3;9.46009^;;
;4;7.97385^;;
Последовательное умножение;;2009.67^;;
Параллельное умножение с for static;2;1091.3^;;
;3;736.408^;;
;4;576.514^;;
Параллельное умножение с for dynamic;2;1096.47^;;
;3;731.539^;;
;4;732.937^;;
Параллельное умножение с sections;2;2000.62^;;
;3;2006.79^;;
;4;2001.8^;;
Последовательное быстрое умножение (Штрассен);;5177.54^;;
Параллельное быстрое умножение (Штрассен);2;3796.25^;;
;3;3276.96^;;
;4;3053.95^;;
;;;;
НД A = 1250x1050B = 1000x1250;;;;
Функция;Потоки;Время;Sp(n);Ep(n)
Ленточное последовательное заполнение;;102.242^;;
Ленточное параллельное заполнение с for static;2;52.4418^;;
;3;35.1274^;;
;4;27.8864^;;
Ленточное параллельное заполнение с for dynamic;2;52.0129^;;
;3;35.3158^;;
;4;34.466^;;
Ленточное параллельный с sections;2;103.733^;;
;3;102.823^;;
;4;102.691^;;
Блочное последовательное;;53.5215^;;
Блочное параллельное заполнение с for static;2;29.0909^;;
;3;21.354^;;
;4;18.0121^;;
Последовательное умножение;;6980.54^;;
Параллельное умножение с for static;2;3722.16^;;
;3;2521.07^;;
;4;1955.39^;;
Параллельное умножение с for dynamic;2;3787.98^;;
;3;2555.88^;;
;4;2570.13^;;
Параллельное умножение с sections;2;7070.47^;;
;3;7077.6^;;
;4;7055.03^;;
Последовательное быстрое умножение (Штрассен);;39793.1^;;
Параллельное быстрое умножение (Штрассен);2;28847.7^;;
;3;24253.3^;;
;4;22791.9^;;
;;;;
НД A = 1500x1500B = 1700x1500;;;;
Функция;Потоки;Время;Sp(n);Ep(n)
Ленточное последовательное заполнение;;173.736^;;
Ленточное параллельное заполнение с for static;2;90.0866^;;
;3;61.6632^;;
;4;48.3328^;;
Ленточное параллельное заполнение с for dynamic;2;90.1674^;;
;3;60.227^;;
;4;59.7792^;;
Ленточное параллельный с sections;2;176.803^;;
;3;175.687^;;
;4;176.375^;;
Блочное последовательное;;94.8403^;;
Блочное параллельное заполнение с for static;2;50.5794^;;
;3;36.8669^;;
;4;30.2821^;;
Последовательное умножение;;25057.7^;;
Параллельное умножение с for static;2;13119.3^;;
;3;9451.73^;;
;4;7774.88^;;
Параллельное умножение с for dynamic;2;14315.4^;;
;3;10582.2^;;
;4;7783.25^;;
Параллельное умножение с sections;2;25403.8^;;
;3;25424.3^;;
;4;25498.5^;;
Последовательное быстрое умножение (Штрассен);;43200.2^;;
Параллельное быстрое умножение (Штрассен);2;30534.8^;;
;3;25677.3^;;
;4;23598^;;
;;;;
НД A = 2000x2000B = 1900x2000;;;;
Функция;Потоки;Время;Sp(n);Ep(n)
Ленточное последовательное заполнение;;308.865^;;
Ленточное параллельное заполнение с for static;2;159.633^;;
;3;108.558^;;
;4;86.1319^;;
Ленточное параллельное заполнение с for dynamic;2;159.446^;;
;3;107.077^;;
;4;105.512^;;
Ленточное параллельный с sections;2;311.088^;;
;3;311.191^;;
;4;310.619^;;
Блочное последовательное;;161.841^;;
Блочное параллельное заполнение с for static;2;88.5179^;;
;3;63.3151^;;
;4;53.3864^;;
Последовательное умножение;;42908.1^;;
Параллельное умножение с for static;2;23599.6^;;
;3;15477.4^;;
;4;12358.4^;;
Параллельное умножение с for dynamic;2;23141.5^;;
;3;16045.2^;;
;4;15758.4^;;
Параллельное умножение с sections;2;44382.9^;;
;3;43323.6^;;
;4;46877.3^;;
Последовательное быстрое умножение (Штрассен);;49830.2^;;
Параллельное быстрое умножение (Штрассен);2;31413.2^;;
;3;26981.8^;;
;4;23991.4^;;
