Функция;Потоки;Ksize;НД1;;НД2;;НД3;;НД4;
;;;Время;Sp(n);Время;Sp(n);Время;Sp(n);Время;Sp(n)
Быстрая сортировка (последовательная) [Последовательная медианная фильтрация];1;3;1.6861^;1^;2.17971^;1^;2.66549^;1^;6.76448^;1^
;;9;20.276^;1^;20.1116^;1^;34.0503^;1^;63.3956^;1^
;;12;24.5921^;1^;35.4616^;1^;41.9081^;1^;104.234^;1^
Быстрая сортировка (последовательная) [Параллельная медианная фильтрация];2;3;0.946779^;1.78088^;1.13842^;1.91468^;1.52191^;1.75142^;3.72223^;1.81732^
;;9;7.71374^;2.62855^;10.2979^;1.95298^;12.5887^;2.70482^;30.7626^;2.0608^
;;12;13.5809^;1.81078^;18.1075^;1.9584^;22.7254^;1.84411^;54.8338^;1.90091^
;3;3;0.675294^;2.49684^;0.806154^;2.70384^;1.07123^;2.48825^;2.6664^;2.53694^
;;9;5.63538^;3.59798^;7.63862^;2.63289^;9.54237^;3.56832^;23.6651^;2.67886^
;;12;10.3483^;2.37644^;13.9939^;2.53407^;17.3864^;2.4104^;42.2344^;2.46799^
;4;3;0.653374^;2.5806^;0.764181^;2.85235^;0.992005^;2.68697^;2.42334^;2.79139^
;;9;4.85969^;4.17228^;6.42768^;3.12891^;8.01546^;4.24808^;20.0629^;3.15985^
;;12;8.80254^;2.79375^;11.5266^;3.0765^;14.5847^;2.87344^;36.2825^;2.87285^
Сортировка Шелла (последовательная) [Последовательная медианная фильтрация];1;3;1.31163^;1^;2.27145^;1^;2.17752^;1^;5.71724^;1^
;;9;13.0125^;1^;25.5713^;1^;24.0485^;1^;64.857^;1^
;;12;24.7541^;1^;48.8784^;1^;46.3999^;1^;122.776^;1^
Сортировка Шелла (последовательная) [Параллельная медианная фильтрация];2;3;0.84426^;1.55359^;1.18967^;1.90931^;1.26157^;1.72604^;3.30282^;1.73102^
;;9;;;;;;;;
